# Genome	Taxonomy
GCA_027936155.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine_gammaherpesvirus_1
GCA_003971385.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Cowpox_virus
GCA_003971405.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Cowpox_virus
GCA_000839345.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Iotapapillomavirus|s__Iotapapillomavirus_1
GCA_001461525.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Iotapapillomavirus|s__Iotapapillomavirus_1
GCA_000839365.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Gammapapillomavirus|s__Gammapapillomavirus_2
GCA_003179695.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Gammapapillomavirus|s__Gammapapillomavirus_2
GCA_000839585.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Panicum_streak_virus
GCA_002825265.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Panicum_streak_virus
GCA_026432195.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_1
GCA_026432215.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_1
GCA_006449575.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Lumpy_skin_disease_virus
GCA_006449595.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Lumpy_skin_disease_virus
GCA_000840065.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Sugarcane_streak_virus
GCA_002825445.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Sugarcane_streak_virus
GCA_006449515.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Goatpox_virus
GCA_006451975.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Goatpox_virus
GCA_006451295.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Sheeppox_virus
GCA_016467475.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Sheeppox_virus
GCA_000840785.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Gequatrovirus|s__Gequatrovirus_G4
GCA_000867085.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Gequatrovirus|s__Gequatrovirus_G4
GCA_000841005.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Ambystoma_tigrinum_virus
GCA_006457865.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Ambystoma_tigrinum_virus
GCA_000841545.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Kalamavirales|f__Tectiviridae|g__Betatectivirus|s__Betatectivirus_Bam35
GCA_002990995.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Kalamavirales|f__Tectiviridae|g__Betatectivirus|s__Betatectivirus_Bam35
GCA_000841945.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Epsilonpapillomavirus|s__Epsilonpapillomavirus_1
GCA_003177995.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Epsilonpapillomavirus|s__Epsilonpapillomavirus_1
GCA_000842385.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Bovine_alphaherpesvirus_5
GCA_027939355.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Bovine_alphaherpesvirus_5
GCA_000842465.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Coriovirus|s__Coriovirus_Cf1c
GCA_002601625.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Coriovirus|s__Coriovirus_Cf1c
GCA_000843365.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Fibrovirus|s__Fibrovirus_fs1
GCA_000883935.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Fibrovirus|s__Fibrovirus_fs1
GCA_000843205.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Sugarcane_streak_Reunion_virus
GCA_002825425.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Sugarcane_streak_Reunion_virus
GCA_006457645.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Molluscipoxvirus|s__Molluscum_contagiosum_virus
GCA_016865695.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Molluscipoxvirus|s__Molluscum_contagiosum_virus
GCA_000843505.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Curtovirus|s__Beet_curly_top_virus
GCA_002824785.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Curtovirus|s__Beet_curly_top_virus
GCA_000843825.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Suid_alphaherpesvirus_1
GCA_008791805.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Suid_alphaherpesvirus_1
GCA_000843885.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Pigeon_circovirus
GCA_004031415.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Pigeon_circovirus
GCA_000843965.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Beak_and_feather_disease_virus
GCA_004011295.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Beak_and_feather_disease_virus
GCA_000844025.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Equid_alphaherpesvirus_1
GCA_027937925.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Equid_alphaherpesvirus_1
GCA_009738755.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Aviadenovirus|s__Fowl_aviadenovirus_D
GCA_009738835.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Aviadenovirus|s__Fowl_aviadenovirus_D
GCA_000844385.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Taupapillomavirus|s__Taupapillomavirus_1
GCA_003178315.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Taupapillomavirus|s__Taupapillomavirus_1
GCA_000844425.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3
GCA_001717415.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3
GCA_000844545.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Avihepadnavirus|s__Duck_hepatitis_B_virus
GCA_000845305.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Avihepadnavirus|s__Duck_hepatitis_B_virus
GCA_000844645.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Macacine_gammaherpesvirus_5
GCA_027940855.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Macacine_gammaherpesvirus_5
GCA_013187025.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Orf_virus
GCA_023533605.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Orf_virus
GCA_000844865.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Macacine_betaherpesvirus_3
GCA_027930015.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Macacine_betaherpesvirus_3
GCA_000844885.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_2
GCA_011559005.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_2
GCA_006400915.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_C
GCA_006401735.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_C
GCA_006433975.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Aviadenovirus|s__Fowl_aviadenovirus_A
GCA_011712065.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Aviadenovirus|s__Fowl_aviadenovirus_A
GCA_000845185.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Rhopapillomavirus|s__Rhopapillomavirus_1
GCA_000895335.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Rhopapillomavirus|s__Rhopapillomavirus_1
GCA_000845205.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Inovirus|s__Inovirus_M13
GCA_000929915.1	k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Inovirus|s__Inovirus_M13
GCA_027926585.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Human_betaherpesvirus_5
GCA_027926605.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Human_betaherpesvirus_5
GCA_000845485.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Lambdapapillomavirus|s__Lambdapapillomavirus_1
GCA_003177815.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Lambdapapillomavirus|s__Lambdapapillomavirus_1
GCA_006425535.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Canine_mastadenovirus_A
GCA_029457705.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Canine_mastadenovirus_A
GCA_000845945.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Atadenovirus|s__Duck_atadenovirus_A
GCA_000886775.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Atadenovirus|s__Duck_atadenovirus_A
GCA_014513885.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Siadenovirus|s__Turkey_siadenovirus_A
GCA_014513945.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Siadenovirus|s__Turkey_siadenovirus_A
GCA_006410205.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_D
GCA_006425355.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_D
GCA_000846025.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Duck_circovirus
GCA_000849785.1	k__Viruses|p__Cressdnaviricota|c__Arfiviricetes|o__Cirlivirales|f__Circoviridae|g__Circovirus|s__Duck_circovirus
GCA_000846065.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Malacoherpesviridae|g__Ostreavirus|s__Ostreid_herpesvirus_1
GCA_023897965.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Malacoherpesviridae|g__Ostreavirus|s__Ostreid_herpesvirus_1
GCA_000846145.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Alphatrevirus|s__Alphatrevirus_alpha3
GCA_002601605.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Alphatrevirus|s__Alphatrevirus_alpha3
GCA_027930735.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Mardivirus|s__Gallid_alphaherpesvirus_2
GCA_027930745.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Mardivirus|s__Gallid_alphaherpesvirus_2
GCA_000846285.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Betapapillomavirus|s__Betapapillomavirus_4
GCA_004289535.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Betapapillomavirus|s__Betapapillomavirus_4
GCA_000846345.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Equid_alphaherpesvirus_4
GCA_027938655.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Equid_alphaherpesvirus_4
GCA_027935815.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Roseolovirus|s__Human_betaherpesvirus_6B
GCA_027935825.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Roseolovirus|s__Human_betaherpesvirus_6B
GCA_006415535.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_F
GCA_006415555.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_F
GCA_009176185.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_A
GCA_009651355.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_A
GCA_000846905.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Singapore_grouper_iridovirus
GCA_006465545.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Singapore_grouper_iridovirus
GCA_000846945.1	k__Viruses|p__Cossaviricota|c__Quintoviricetes|o__Piccovirales|f__Parvoviridae|g__Copiparvovirus|s__Ungulate_copiparvovirus_1
GCA_004368215.1	k__Viruses|p__Cossaviricota|c__Quintoviricetes|o__Piccovirales|f__Parvoviridae|g__Copiparvovirus|s__Ungulate_copiparvovirus_1
GCA_008787145.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Iltovirus|s__Gallid_alphaherpesvirus_1
GCA_027935975.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Iltovirus|s__Gallid_alphaherpesvirus_1
GCA_000847105.2	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Maize_streak_virus
GCA_002825065.1	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Mastrevirus|s__Maize_streak_virus
GCA_000859485.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_B
GCA_006401535.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_B
GCA_000847425.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pegivirus|s__Pegivirus_A
GCA_000921975.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pegivirus|s__Pegivirus_A
GCA_000847485.1	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_zinderi
GCA_002755255.1	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_zinderi
GCA_000847505.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Deltaretrovirus|s__Primate_T_lymphotropic_virus_2
GCA_003098335.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Deltaretrovirus|s__Primate_T_lymphotropic_virus_2
GCA_000847565.2	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Bornaviridae|g__Orthobornavirus|s__Orthobornavirus_bornaense
GCA_002366305.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Bornaviridae|g__Orthobornavirus|s__Orthobornavirus_bornaense
GCA_000847705.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Vesivirus|s__Vesicular_exanthema_of_swine_virus
GCA_000852525.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Vesivirus|s__Vesicular_exanthema_of_swine_virus
GCA_000847945.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Bovine_alphaherpesvirus_1
GCA_008777455.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Bovine_alphaherpesvirus_1
GCA_000848325.1	k__Viruses|p__Duplornaviricota|c__Chrymotiviricetes|o__Ghabrivirales|f__Totiviridae|g__Leishmaniavirus|s__Leishmania_RNA_virus_1
GCA_000852805.1	k__Viruses|p__Duplornaviricota|c__Chrymotiviricetes|o__Ghabrivirales|f__Totiviridae|g__Leishmaniavirus|s__Leishmania_RNA_virus_1
GCA_000848505.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Filoviridae|g__Ebolavirus|s__Zaire_ebolavirus
GCA_900007085.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Filoviridae|g__Ebolavirus|s__Zaire_ebolavirus
GCA_000848585.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Metaavulavirus|s__Avian_metaavulavirus_6
GCA_002815195.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Metaavulavirus|s__Avian_metaavulavirus_6
GCA_000848685.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Porcine_epidemic_diarrhea_virus
GCA_900188515.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Porcine_epidemic_diarrhea_virus
GCA_000848865.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Infectious_spleen_and_kidney_necrosis_virus
GCA_006449455.1	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Infectious_spleen_and_kidney_necrosis_virus
GCA_000848905.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_E
GCA_000897015.1	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_E
GCA_000849305.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Bovine_orthopneumovirus
GCA_000856445.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Bovine_orthopneumovirus
GCA_000849665.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Chlamydiamicrovirus|s__Chlamydiamicrovirus_Chp2
